title,main_question,Category
Quitting Question No. 1,What do you think this job says about your self worth?,selfWorth
Quitting Question No. 2,Does this job feel like good progress in the wrong direction?,futureSelf
Quitting Question No. 3,What is the most positive non-monetary aspect about this job?,privilege
Quitting Question No. 4,Who do you tell yourself you are 'doing this for'?,them
Quitting Question No. 5,Who is relying on you at your workplace?,them
Quitting Question No. 6,What does your 80 year old self regret not spending this phase of your life on?,futureSelf
Quitting Question No. 7,Are you learning in areas that will benefit your long term career?,work
Quitting Question No. 8,Are you learning in areas that you have been curious about?,futureSelf
Quitting Question No. 9,What kinds of mistakes can you afford to make?,privilege
Quitting Question No. 10,"If you had a year's worth of income, what would you do with your time?",privilege
Quitting Question No. 11,Is your boss meeting your needs as an employee?,work
Quitting Question No. 12,Is your current workload sustainable?,work
Quitting Question No. 13,Is your current mental state sustainable?,work
Quitting Question No. 14,How much money would your 39 year old self spend to come back to the age that you are now?,futureSelf
Quitting Question No. 15,What is your definition of 'enough' money to meet your goals?,privilege
Quitting Question No. 16,How much of your money is spent on basic human needs and how much is spent on getting ahead?,privilege
Quitting Question No. 17,Who in your life are you currently judging most harshly?,them
Quitting Question No. 18,What kinds of people did you used to admire and now find yourself judging?,them
Quitting Question No. 19,Who at your workplace are you deathly afraid of becoming in 5-10 years?,them
Quitting Question No. 20,What would the person you want to become do in this situation?,selfWorth
Quitting Question No. 21,"If you felt valued regardless of occupation, what would you rather spend this time on?",selfWorth
Quitting Question No. 22,Is there anything that you would rather be failing at?,selfWorth
Quitting Question No. 23,"What government or familial support networks do you have access to, even if they require you sacrificing your pride?",privilege
Quitting Question No. 24,What aspects of your health are you sacrificing,futureSelf
Quitting Question No. 25,What similarities do you have with the people who have left the company? What similarities do you have with the people who stayed?,work
Quitting Question No. 26,Do you like the person you become when you're at work?,work
Quitting Question No. 27,Is this job tied to the person you're 'supposed to be'?,selfWorth
Quitting Question No. 28,What has this job taken from you?,work
Quitting Question No. 29,"Assuming you had a kid and they felt the way that you currently feel about their job, what would you say to them?",selfWorth
Quitting Question No. 30,"If your employer didn't care about your potential, what would you regret not spending your time on?",work
Quitting Question No. 31,What would you do if you found out they weren't relying on you as much as they led you to believe?,work
Quitting Question No. 32,What non-monetary support networks are accessible to you in your social network?,privilege
Quitting Question No. 33,Are there reasons you are working there that don't have to do with money?,selfWorth
Quitting Question No. 34,What would you do if your life was invisible to judgmental people?,them
Quitting Question No. 35,"If you were to get had a life altering health diagnosis in the next year, what change would you make in the next month?",futureSelf
Quitting Question No. 36,Imagine your hair starts falling out next year. Is there a change that you wish you made in the past?,futureSelf
Quitting Question No. 37,What is the name you would give to this version of yourself?,selfWorth
Quitting Question No. 38,"According to the people you do NOT want to end up like, what should you do?",them
Quitting Question No. 39,"According to the people you look up to, what 'should' you do?",them
Quitting Question No. 40,What would you do if you allowed yourself to be 20% more selfish?,privilege
Quitting Question No. 41,What would you do if the things that people said about you didn't affect you?,them
Quitting Question No. 42,"If you were free on a Monday afternoon while the majority of your loved ones were busy, what would you do with your time?",them
Quitting Question No. 43,"If your work will never matter in the cosmic sense, what would you rather be doing with your time?",selfWorth
Quitting Question No. 44,What mmethods of making money are you NOT willing to endure in this stage of your life?,privilege
Quitting Question No. 45,Are there boundaries that you are capable of enforcing but you have allowed to be violated?,work
Quitting Question No. 46,Are there boundaries that they are not respecting despite your best efforts?,work
Quitting Question No. 47,Is there anyone who's relying on me for this income?,them
Quitting Question No. 48,How much suffering do you deem necessary before people are allowed to enjoy their lives?,selfWorth
Quitting Question No. 49,"If this ends up being a massive mistake, what would satisfy you about your decision?",selfWorth
Quitting Question No. 50,"If the world had already ended, what would you have regretted not spending so much time on?",futureSelf
Quitting Question No. 51,Is this job part of an identity that you still want to have in the future?,futureSelf
Quitting Question No. 52,What is the emotional and logical costs of spending one more year like this?,futureSelf
Quitting Question No. 53,Is the best part of this job tied to appearances and what people say of you?,them
Quitting Question No. 54,What would the person you do NOT want to end up like do in this situation?,futureSelf
Quitting Question No. 55,What kind of work is important to you even when no one else thinks so?,Self
Quitting Question No. 56,What words are you extremely afraid of being described by in 5 years?,futureSelf
Quitting Question No. 57,What pieces of advice are you getting from your relatively privileged friends?,privilege
Quitting Question No. 58,What would yourself in 10 years have suggested your current self to do during this time?,futureSelf
